8b18ff6e:00000000:0000000000027066   adTailLongHotspotControl
8b18ff6e:00000000:0000000000027067   adChestHotspotControl
8b18ff6e:00000000:0000000000027068   tunableTestedGreetingTargeted_PetToPet_Friendly
8b18ff6e:00000000:00000000000270a6   adFeetHotspotControl
8b18ff6e:00000000:0000000000027287   adEarsTipUpHotspotControl
8b18ff6e:00000000:00000000000272ae   adNoseTipHotspotControl
8b18ff6e:00000000:00000000000272af   adNoseBaseHotspotControl
8b18ff6e:00000000:00000000000272e2   adNoseBridgeHotspotControl
8b18ff6e:00000000:00000000000272e3   adHeadCrownHotspotControl
8b18ff6e:00000000:00000000000272e4   adHeadSkullHotspotControl
8b18ff6e:00000000:00000000000272e5   adFaceHotspotControl
8b18ff6e:00000000:00000000000272e6   adJawHotspotControl
8b18ff6e:00000000:0000000000027285   adHipsHotspotControl
8b18ff6e:00000000:0000000000027286   adEarsMidHotspotControl
8b18ff6e:00000000:0000000000028339   acFeetHotspotControl
8b18ff6e:00000000:000000000002833a   acLowerLegHotspotControl
8b18ff6e:00000000:00000000000282ee   acTailLongHotspotControl
8b18ff6e:00000000:000000000002833f   acHeadForeheadHotspotControl
8b18ff6e:00000000:0000000000028340   acJawHotspotControl
8b18ff6e:00000000:0000000000028347   acMuzzleShapeHotspotControl
8b18ff6e:00000000:000000000002834a   acMuzzleHotspotControl
8b18ff6e:00000000:000000000002834c   buff_Role_ServiceNPC_PetCareWorker_RouteToCrate
8b18ff6e:00000000:0000000000028368   acNoseHotspotControl
8b18ff6e:00000000:000000000002834d   pet_chooser
8b18ff6e:00000000:00000000000282f5   acBellyHotspotControl
8b18ff6e:00000000:00000000000282f7   petCareWorker_RouteToCrate_Role
8b18ff6e:00000000:0000000000028329   acEarsMidHotspotControl
8b18ff6e:00000000:000000000002832a   acEarsTipHotspotControl
8b18ff6e:00000000:000000000002832b   Trait_Notification_Skittish_Pet_Cat
8b18ff6e:00000000:000000000002832c   acEyesScaleMacroHotspotControl
8b18ff6e:00000000:000000000002832e   Interactions_Skittish_Dogs
8b18ff6e:00000000:0000000000028448   alJowlHotspotControl
8b18ff6e:00000000:0000000000028449   alMuzzleHotspotControl
8b18ff6e:00000000:000000000002844a   alNeckHotspotControl
8b18ff6e:00000000:000000000002844e   alNoseBaseHotspotControl
8b18ff6e:00000000:000000000002845c   exitCondition_Dog_MotivesNearFail_Bladder_Target
8b18ff6e:00000000:000000000002845d   exitCondition_Dog_MotivesNearFail_Hunger_Target
8b18ff6e:00000000:00000000000283f9   alEarsMidHotspotControl
8b18ff6e:00000000:00000000000283fc   alEyesRotateMacroHotspotControl
8b18ff6e:00000000:0000000000028428   alFaceHotspotControl
8b18ff6e:00000000:000000000002847f   alNoseBridgeHotspotControl
8b18ff6e:00000000:0000000000028429   testSetInstance_ActorTargetIs_aLDC_Or_aPK
8b18ff6e:00000000:000000000002842a   alHeadCrownHotspotControl
8b18ff6e:00000000:000000000002842b   alHeadSkullHotspotControl
8b18ff6e:00000000:0000000000028437   buff_Dog_OnLeash_Hidden
8b18ff6e:00000000:0000000000028438   pet_Investigate_SniffNewObjects
8b18ff6e:00000000:0000000000028439   buff_Pet_IsDying
8b18ff6e:00000000:0000000000028338   acFaceHotspotControl
8b18ff6e:00000000:0000000000028500   alChestHotspotControl
8b18ff6e:00000000:0000000000028501   alBellyHotspotControl
8b18ff6e:00000000:00000000000294ee   adEyesSocket2HotspotControl
8b18ff6e:00000000:0000000000029558   acBrowsInnerHotspotControl
8b18ff6e:00000000:0000000000029559   acBrowsOuterHotspotControl
8b18ff6e:00000000:000000000002955a   acEyeLidLowHotspotControl
8b18ff6e:00000000:000000000002955b   acEyeLidUpHotspotControl
8b18ff6e:00000000:000000000002955c   acMuzzleMouthCornerHotspotControl
8b18ff6e:00000000:00000000000294b2   reaction_Mixer_Vet_PetOwner_ExamSuccess
8b18ff6e:00000000:000000000002951b   adEyeLidUpHotspotControl
8b18ff6e:00000000:000000000002951c   adEyeLidLowHotspotControl
8b18ff6e:00000000:000000000002951d   adBrowsOuterHotspotControl
8b18ff6e:00000000:000000000002951e   adBrowsInnerHotspotControl
8b18ff6e:00000000:000000000002951f   buff_Pregnancy_Trimester3_PetDog
8b18ff6e:00000000:0000000000029520   buff_Pregnancy_Trimester2_PetDog
8b18ff6e:00000000:000000000002957d   adEarsBaseUpHotspotControl
8b18ff6e:00000000:00000000000296ce   loot_Vet_Sickness_RemoveFailureControllers
8b18ff6e:00000000:0000000000029542   pet_Exam_debug_AllGood
8b18ff6e:00000000:0000000000029557   acNoseHeartHotspotControl
8b18ff6e:00000000:00000000000296d0   vet_Examine_Mixers_Treatment_Autonomous_CureSicknessPicker
8b18ff6e:00000000:00000000000296d1   alEyeLidLowHotspotControl
8b18ff6e:00000000:00000000000296d2   vet_Examine_Mixers_Treatment_Autonomous_CheckUpPicker
8b18ff6e:00000000:00000000000296d4   loot_Vet_ApplyPreventativeShot_Target
8b18ff6e:00000000:00000000000296d5   loot_Vet_ApplyCheapTreatment_Target
8b18ff6e:00000000:0000000000029721   alEarsBaseDownHotspotControl
8b18ff6e:00000000:0000000000029722   alEarsBaseUpHotspotControl
8b18ff6e:00000000:0000000000029723   alEarsTipUpHotspotControl
8b18ff6e:00000000:0000000000029729   alEarsTipDownHotspotControl
8b18ff6e:00000000:000000000002bc93   acTailStubHotspotControl
8b18ff6e:00000000:000000000002bc94   adTailRingHotspotControl
8b18ff6e:00000000:000000000002bc95   adTailScrewHotspotControl
8b18ff6e:00000000:000000000002bc96   adTailStubHotspotControl
8b18ff6e:00000000:000000000002bc97   alTailRingHotspotControl
8b18ff6e:00000000:000000000002bc98   alTailScrewHotspotControl
8b18ff6e:00000000:000000000002bc99   alTailStubHotspotControl
